Sentences,Label
dừng rồi hai mươi năm sau,unknown unknown unknown unknown unknown unknown
dừng hai mươi năm qua,unknown unknown unknown unknown unknown
dừng hai mươi năm gặp lại,unknown unknown unknown unknown unknown unknown
dừng hai mùa mưa,unknown unknown unknown unknown
phát một,unknown unknown
phát con số ba,unknown unknown unknown unknown
phát sáu năm,unknown unknown unknown
phát mười năm tình cũ,unknown unknown unknown unknown unknown
phát rồi hai mươi năm sau,unknown unknown unknown unknown unknown unknown
phát hai mươi năm qua,unknown unknown unknown unknown unknown
phát hai mươi năm gặp lại,unknown unknown unknown unknown unknown unknown
phát hai mùa mưa,unknown unknown unknown unknown
năm hai ngàn không trăm hai ba,unknown num num num num num num
năm hai ngàn không trăm hai bốn,unknown num num num num num num
năm hai ngàn không trăm hai hai,unknown num num num num num num
tắt nhạc sau một giờ,unknown unknown unknown num unknown
chỉnh nhiệt độ máy lạnh hai bốn độ,unknown unknown unknown unknown unknown num num unknown
giảm nhiệt độ máy lạnh hai độ,unknown unknown unknown unknown unknown num unknown
bảy tháng năm hai không hai hai là thứ mấy,num unknown num num num num num unknown unknown unknown
bốn tháng một hai không hai mươi là thứ mấy,num unknown num num num num num unknown unknown unknown
ba tháng hai hai không hai chín là thứ mấy,num unknown num num num num num unknown unknown unknown
mười tháng tư hai không mười hai là thứ mấy,num unknown num num num num num unknown unknown unknown
hai mươi ba tháng bảy hai không hai mốt là thứ mấy,num num num unknown num num num num num unknown unknown unknown
năm hai ngàn không trăm hai mươi mốt,unknown num num num num num num num
năm hai ngàn không trăm hai mươi hai,unknown num num num num num num num
năm hai ngàn không trăm hai mươi ba,unknown num num num num num num num
tháng này có ba mốt ngày không,unknown unknown unknown num num unknown unknown
tháng này có ba mươi mốt ngày không,unknown unknown unknown num num num unknown unknown
tháng này có ba mươi hai ngày không,unknown unknown unknown num num num unknown unknown
năm lăm năm,num num unknown
mười chín tuổi,num num unknown
mười một,num num
mười lăm năm,num num unknown
thứ sáu ngày mười ba,unknown num unknown num num
gọi tôi dậy vào lúc bảy giờ ngày mai,unknown unknown unknown unknown unknown num unknown unknown unknown
nhắc tôi đi ngủ vào lúc mười một giờ đêm nay,unknown unknown unknown unknown unknown unknown num num unknown unknown unknown
nhắc tôi đi tập thể dục vào lúc tám giờ tối nay,unknown unknown unknown unknown unknown unknown unknown unknown num unknown unknown unknown
ba mươi phút nữa nhắc tôi phơi đồ,num num unknown unknown unknown unknown unknown unknown
nhắc tôi có hẹn vào lúc bảy giờ tối nay,unknown unknown unknown unknown unknown unknown num unknown unknown unknown
nhắc tôi nấu cơm vào lúc mười một giờ,unknown unknown unknown unknown unknown unknown num num unknown
tám bình cộng mười hai bằng bao nhiêu,num unknown unknown num num unknown unknown unknown
một cộng một cộng một cộng một cộng một bằng mấy,num unknown num unknown num unknown num unknown num unknown unknown
một cộng hai cộng ba cộng bốn cộng năm bằng mấy,num unknown num unknown num unknown num unknown num unknown unknown
một bình phương,num unknown unknown
hai bình phương,num unknown unknown
ba bình phương,num unknown unknown
bốn bình phương,num unknown unknown
năm bình phương,num unknown unknown
sáu bình phương,num unknown unknown
căn một,unknown num
căn hai,unknown num
căn ba,unknown num
căn bốn,unknown num
căn năm,unknown num
căn sáu,unknown num
căn bảy,unknown num
trừ một,unknown num
trừ hai,unknown num
trừ ba,unknown num
trừ bốn,unknown num
trừ năm,unknown num
trừ sáu,unknown num
nhân một,unknown num
nhân hai,unknown num
nhân ba,unknown num
nhân bốn,unknown num
nhân năm,unknown num
nhân sáu,unknown num
chia một,unknown num
chia hai,unknown num
chia ba,unknown num
chia bốn,unknown num
chia năm,unknown num
chia sáu,unknown num
mũ một,unknown num
mũ hai,unknown num
mũ ba,unknown num
mũ bốn,unknown num
mũ năm,unknown num
mũ sáu,unknown num
sáu nhân một,num unknown num
năm nhân hai,num unknown num
bốn nhân ba,num unknown num
ba nhân bốn,num unknown num
hai nhân năm,num unknown num
một nhân sáu,num unknown num
sáu chia một,num unknown num
năm chia hai,num unknown num
bốn chia ba,num unknown num
ba chia bốn,num unknown num
hai chia năm,num unknown num
một chia sáu,num unknown num
sáu cộng một,num unknown num
năm cộng hai,num unknown num
bốn cộng ba,num unknown num
ba cộng bốn,num unknown num
hai cộng năm,num unknown num
một cộng sáu,num unknown num
sáu trừ một,num unknown num
năm trừ hai,num unknown num
bốn trừ ba,num unknown num
ba trừ bốn,num unknown num
hai trừ năm,num unknown num
một trừ sáu,num unknown num
sáu mũ một,num unknown num
năm mũ hai,num unknown num
bốn mũ ba,num unknown num
ba mũ bốn,num unknown num
hai mũ năm,num unknown num
một mũ sáu,num unknown num
sáu lũy thừa một,num unknown unknown num
năm lũy thừa hai,num unknown unknown num
bốn lũy thừa ba,num unknown unknown num
ba lũy thừa bốn,num unknown unknown num
hai lũy thừa năm,num unknown unknown num
một lũy thừa sáu,num unknown unknown num
một giai thừa,num unknown unknown
hai giai thừa,num unknown unknown
ba giai thừa,num unknown unknown
bốn giai thừa,num unknown unknown
năm giai thừa,num unknown unknown
sáu giai thừa,num unknown unknown
bảy giai thừa,num unknown unknown
một trăm giai thừa,num num unknown unknown
hai trăm giai thừa,num num unknown unknown
ba trăm giai thừa,num num unknown unknown
bốn trăm giai thừa,num num unknown unknown
năm trăm giai thừa,num num unknown unknown
sáu trăm giai thừa,num num unknown unknown
bảy trăm giai thừa,num num unknown unknown
đứng hạng một,unknown unknown num
đứng hạng hai,unknown unknown num
đứng hạng ba,unknown unknown num
đứng hạng bốn,unknown unknown num
đứng hạng năm,unknown unknown num
đứng hạng sáu,unknown unknown num
đứng hạng bảy,unknown unknown num
đứng hạng tám,unknown unknown num
đứng hạng chín,unknown unknown num
đứng thứ một,unknown unknown num
đứng thứ hai,unknown unknown num
đứng thứ ba,unknown unknown num
đứng thứ bốn,unknown unknown num
đứng thứ năm,unknown unknown num
đứng thứ sáu,unknown unknown num
đứng thứ bảy,unknown unknown num
đứng thứ tám,unknown unknown num
đứng thứ chín,unknown unknown num
xếp hạng một,unknown unknown num
xếp hạng hai,unknown unknown num
xếp hạng ba,unknown unknown num
xếp hạng bốn,unknown unknown num
xếp hạng năm,unknown unknown num
xếp hạng sáu,unknown unknown num
xếp hạng bảy,unknown unknown num
xếp hạng tám,unknown unknown num
xếp hạng chín,unknown unknown num
mười bình cộng sáu mươi hai bằng bao nhiêu,num unknown unknown num num num unknown unknown unknown
sáu bình cộng bảy mươi ba bằng bao nhiêu,num unknown unknown num num num unknown unknown unknown
tám mươi chín bình cộng bảy bằng bao nhiêu,num num num unknown unknown num unknown unknown unknown
hai triệu rưỡi,num num_mag num
ba triệu rưỡi,num num num
ba triệu rưỡi,num num num
bốn triệu rưỡi,num num num
hai triệu rưỡi,num num num
ba triệu năm trăm sáu mươi nghìn đồng,num num num num num num num unknown
hai triệu năm trăm bảy mươi nghìn đồng,num num num num num num num unknown
một cuốn vở,num unknown unknown
một cái cặp,num unknown unknown
một cái chén,num unknown unknown
một cái khăn,num unknown unknown
một cuốn sách,num unknown unknown
một cái ly,num unknown unknown
một con chuột,num unknown unknown
một con mèo,num unknown unknown
một con chó,num unknown unknown
hai cuốn vở,num unknown unknown
hai cái cặp,num unknown unknown
hai cái chén,num unknown unknown
hai cái khăn,num unknown unknown
hai cuốn sách,num unknown unknown
hai cái ly,num unknown unknown
hai con chuột,num unknown unknown
hai con mèo,num unknown unknown
hai con chó,num unknown unknown
ba cuốn vở,num unknown unknown
ba cái cặp,num unknown unknown
ba cái chén,num unknown unknown
ba cái khăn,num unknown unknown
ba cuốn sách,num unknown unknown
ba cái ly,num unknown unknown
ba con chuột,num unknown unknown
ba con mèo,num unknown unknown
bốn cuốn vở,num unknown unknown
bốn cái cặp,num unknown unknown
bốn cái chén,num unknown unknown
bốn cái khăn,num unknown unknown
bốn cuốn sách,num unknown unknown
bốn cái ly,num unknown unknown
bốn con chuột,num unknown unknown
bốn con mèo,num unknown unknown
bốn con chó,num unknown unknown
năm cuốn vở,num unknown unknown
năm cái cặp,num unknown unknown
năm cái chén,num unknown unknown
năm cái khăn,num unknown unknown
năm cuốn sách,num unknown unknown
năm cái ly,num unknown unknown
năm con chuột,num unknown unknown
năm con mèo,num unknown unknown
năm con chó,num unknown unknown
sáu cuốn vở,num unknown unknown
sáu cái cặp,num unknown unknown
sáu cái chén,num unknown unknown
sáu cái khăn,num unknown unknown
sáu cuốn sách,num unknown unknown
sáu cái ly,num unknown unknown
sáu con chuột,num unknown unknown
sáu con mèo,num unknown unknown
sáu con chó,num unknown unknown
bảy cuốn vở,num unknown unknown
bảy cái cặp,num unknown unknown
bảy cái chén,num unknown unknown
bảy cái khăn,num unknown unknown
bảy cuốn sách,num unknown unknown
bảy cái ly,num unknown unknown
bảy con chuột,num unknown unknown
bảy con mèo,num unknown unknown
bảy con chó,num unknown unknown
tám cuốn vở,num unknown unknown
tám cái cặp,num unknown unknown
tám cái chén,num unknown unknown
tám cái khăn,num unknown unknown
tám cuốn sách,num unknown unknown
tám cái ly,num unknown unknown
tám con chuột,num unknown unknown
tám con mèo,num unknown unknown
tám con chó,num unknown unknown
chín cuốn vở,num unknown unknown
chín cái cặp,num unknown unknown
chín cái chén,num unknown unknown
chín cái khăn,num unknown unknown
chín cuốn sách,num unknown unknown
chín cái ly,num unknown unknown
chín con chuột,num unknown unknown
chín con mèo,num unknown unknown
chín con chó,num unknown unknown
chín triệu bốn trăm bảy mươi nghìn đồng,num num num num num num num unknown
triệu chứng,unknown unknown
triệu chứng hậu cô vít,unknown unknown unknown unknown unknown
triệu chứng căn bệnh,unknown unknown unknown unknown
triệu chứng viêm xoang,unknown unknown unknown unknown
triệu chứng ho lao,unknown unknown unknown unknown
triệu chứng viêm phổi,unknown unknown unknown unknown
mở nhạc không lời trong hai mươi phút,unknown unknown unknown unknown unknown num num unknown
giảm âm lượng về mức bốn,unknown unknown unknown unknown unknown num
tăng âm lượng về mức hai,unknown unknown unknown unknown unknown num
tăng hai mức âm lượng,unknown num unknown unknown unknown
bật rây đi ô tần số ép em chín bảy mê ga héc,unknown unknown unknown unknown unknown unknown unknown unknown num num unknown unknown unknown
con ba ba,unknown unknown unknown
số ba ba,unknown num num
ba ba,num num
bốn bốn,num num
năm trăm năm sau,num num unknown unknown
năm trăm năm mươi năm sau,num num num num unknown unknown
mười năm sau,num unknown unknown
chín năm sau,num unknown unknown
sau mười năm,unknown num unknown
sau chín năm,unknown num unknown
sau hai mươi năm tuổi,unknown num num unknown unknown
hai triệu năm sau,num num unknown unknown
ba mươi bốn năm sau,num num num unknown unknown
sau vài năm,unknown unknown unknown
dì bảy đang nấu ăn,unknown unknown unknown unknown unknown
dì tám đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì chín đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì mười đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì ba đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì bốn đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì năm đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
dì hai đang nấu ăn,unknown unknown unknown unknown unknown
dì tư đang nấu ăn,unknown unknown unknown unknown unknown
dì bốn đang nấu ăn,unknown unknown unknown unknown unknown
hai em đang chơi cùng dì hai,num unknown unknown unknown unknown unknown unknown
ba em đang chơi cùng dì ba,num unknown unknown unknown unknown unknown unknown
bốn em đang chơi cùng dì bốn,num unknown unknown unknown unknown unknown unknown
năm em đang chơi cùng dì năm,num unknown unknown unknown unknown unknown unknown
sáu em đang chơi cùng dì sáu,num unknown unknown unknown unknown unknown unknown
bảy em đang chơi cùng dì bảy,num unknown unknown unknown unknown unknown unknown
tám em đang chơi cùng dì tám,num unknown unknown unknown unknown unknown unknown
chín em đang chơi cùng dì chín,num unknown unknown unknown unknown unknown unknown
cô bảy đang nấu ăn,unknown unknown unknown unknown unknown
cô tám đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô chín đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô mười đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô ba đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô bốn đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô năm đang nấu bảy con cá,unknown unknown unknown unknown num unknown unknown
cô hai đang nấu ăn,unknown unknown unknown unknown unknown
cô tư đang nấu ăn,unknown unknown unknown unknown unknown
cô bốn đang nấu ăn,unknown unknown unknown unknown unknown
hai em đang chơi cùng cô hai,num unknown unknown unknown unknown unknown unknown
ba em đang chơi cùng cô ba,num unknown unknown unknown unknown unknown unknown
bốn em đang chơi cùng cô bốn,num unknown unknown unknown unknown unknown unknown
năm em đang chơi cùng cô năm,num unknown unknown unknown unknown unknown unknown
sáu em đang chơi cùng cô sáu,num unknown unknown unknown unknown unknown unknown
bảy em đang chơi cùng cô bảy,num unknown unknown unknown unknown unknown unknown
tám em đang chơi cùng cô tám,num unknown unknown unknown unknown unknown unknown
chín em đang chơi cùng cô chín,num unknown unknown unknown unknown unknown unknown
chín người ăn quả trứng chín,num unknown unknown unknown unknown unknown
ông chín ăn chin quả trứng chín,unknown unknown unknown num unknown unknown unknown
cô hai năm nay bốn mươi lăm tuổi,unknown unknown unknown unknown num num_mag post_num unknown
ông ba năm nay tám mươi sáu tuổi,unknown unknown unknown unknown num num_mag num unknown
dượng tư năm nay ba mươi chín tuổi,unknown unknown unknown unknown num num_mag num unknown
nhiệt độ ngoài trời quận ba hiện tại là bao nhiêu,unknown unknown unknown unknown unknown num unknown unknown unknown unknown unknown
ba con cá,num unknown unknown
bốn con cá,num unknown unknown
ba tôi ăn cơm lúc ba giờ chiều,unknown unknown unknown unknown unknown num unknown unknown
ba tôi ăn trưa lúc ba giờ chiều,unknown unknown unknown unknown unknown num unknown unknown
chín quả chuối chín,num unknown unknown unknown
chín quả cam chín ngay khi trên cây,num unknown unknown unknown unknown unknown unknown unknown
chín nồi thịt chín,num unknown unknown unknown
ăn chín uống sôi,unknown unknown unknown unknown
suy nghĩ cho chín chắn rồi hãy làm,unknown unknown unknown unknown unknown unknown unknown unknown
hai củ khoai chín,num unknown unknown unknown
ba củ khoai chín,num unknown unknown unknown
chín củ khoai chín,num unknown unknown unknown
ngượng chín cả mặt,unknown unknown unknown unknown
uống từng viên thuốc một,unknown unknown unknown unknown unknown
từng người một sẽ được phần thưởng,unknown unknown unknown unknown unknown unknown unknown
chồng năm cuốn sách một thành một bó,unknown unknown unknown unknown unknown unknown unknown unknown
chỉ có một trên đời,unknown unknown unknown unknown unknown
chân lý chỉ có một,unknown unknown unknown unknown unknown
nước việt nam là một dân tộc việt nam là một,unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown
ba cháu có nhà không,unknown unknown unknown unknown unknown
con trông nhà để ba đi làm,unknown unknown unknown unknown unknown unknown unknown
xin phép ba cho con đi đá bóng,unknown unknown unknown unknown unknown unknown unknown unknown
ba đi vắng rồi,unknown unknown unknown unknown
la cà ở quán ba,unknown unknown unknown unknown unknown
đi chơi uống rượu ở quan ba,unknown unknown unknown unknown unknown unknown unknown
đứa con thứ một,unknown unknown unknown num
cây viết thứ hai,unknown unknown unknown num
quyển sách thứ ba,unknown unknown unknown num
đi chơi lần thứ bốn,unknown unknown unknown unknown num
lần thí nghiệm thứ năm,unknown unknown unknown unknown num
cây số thứ sáu,unknown unknown unknown num
quyển truyện thứ bảy,unknown unknown unknown num
ngôi trường thứ tám của huyện,unknown unknown unknown num unknown unknown
cây bút bi thứ chín,unknown unknown unknown unknown num
một năm dương lịch,unknown unknown unknown unknown
Làn sóng nâng lãi suất mạnh nhất bốn mươi năm trên toàn cầu,unknown unknown unknown unknown unknown unknown unknown num num unknown unknown unknown unknown
năm học mới sắp đến,unknown unknown unknown unknown unknown
phần thưởng sẽ được phát vào cuối năm học,unknown unknown unknown unknown unknown unknown unknown unknown unknown
năm học đầy khó khăn,unknown unknown unknown unknown unknown
năm nhuận có ba trăm sáu mươi sáu ngày,unknown unknown unknown num num num num num unknown
năm nhuận thường dài hơn năm thường,unknown unknown unknown unknown unknown unknown unknown
năm thường có ít ngày hơn năm nhuận,unknown unknown unknown unknown unknown unknown unknown unknown
năm thường sẽ tổ chức lễ hội,unknown unknown unknown unknown unknown unknown unknown
năm nhuận luôn có những điều thú vị,unknown unknown unknown unknown unknown unknown unknown unknown
sau bao năm cuộc sống vẫn không thay đổi,unknown unknown unknown unknown unknown unknown unknown unknown unknown
qua bao năm sự phát triển ngày càng rõ ràng hơn,unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown
số bảy là số may mắn của người nhật bản,unknown num unknown unknown unknown unknown unknown unknown unknown unknown
thỏ bảy màu và hành trình đi học,unknown num unknown unknown unknown unknown unknown unknown
tháng tám là tháng nóng nhất năm,unknown num unknown unknown unknown unknown unknown
tháng hai đang được nghỉ tết,unknown num unknown unknown unknown unknown
tháng ba có tổ chức lễ hội,unknown num unknown unknown unknown unknown unknown
tháng tư phải đi làm,unknown num unknown unknown unknown
kì thi đại học được tổ chức vào tháng sáu,unknown unknown unknown unknown unknown unknown unknown unknown unknown num
chuyện bà tám được phổ biến rộng rãi,unknown unknown unknown unknown unknown unknown unknown unknown
tám tàu tham gia tìm kiếm mười lăm người mất tích trên biển,num unknown unknown unknown unknown unknown num num unknown unknown unknown unknown unknown
thím một,unknown unknown
thím hai,unknown unknown
thím ba,unknown unknown
thím bốn,unknown unknown
thím năm,unknown unknown
thím sáu,unknown unknown
thím bảy,unknown unknown
thím tám,unknown unknown
thím chín,unknown unknown
chú một,unknown unknown
chú hai,unknown unknown
chú ba,unknown unknown
chú bốn,unknown unknown
chú năm,unknown unknown
chú sáu,unknown unknown
chú bảy,unknown unknown
chú tám,unknown unknown
chú chín,unknown unknown
cô một,unknown unknown
cô hai,unknown unknown
cô ba,unknown unknown
cô bốn,unknown unknown
cô năm,unknown unknown
cô sáu,unknown unknown
cô bảy,unknown unknown
cô tám,unknown unknown
cô chín,unknown unknown
anh một,unknown unknown
anh hai,unknown unknown
anh ba,unknown unknown
anh bốn,unknown unknown
anh năm,unknown unknown
anh sáu,unknown unknown
anh bảy,unknown unknown
anh tám,unknown unknown
anh chín,unknown unknown
ông một,unknown unknown
ông hai,unknown unknown
ông ba,unknown unknown
ông bốn,unknown unknown
ông năm,unknown unknown
ông sáu,unknown unknown
ông bảy,unknown unknown
ông tám,unknown unknown
ông chín,unknown unknown
bà một,unknown unknown
bà hai,unknown unknown
bà ba,unknown unknown
bà bốn,unknown unknown
bà năm,unknown unknown
bà sáu,unknown unknown
bà bảy,unknown unknown
bà tám,unknown unknown
bà chín,unknown unknown
dì một,unknown unknown
dì hai,unknown unknown
dì ba,unknown unknown
dì bốn,unknown unknown
dì năm,unknown unknown
dì sáu,unknown unknown
dì bảy,unknown unknown
dì tám,unknown unknown
dì chín,unknown unknown
bác một,unknown unknown
bác hai,unknown unknown
bác ba,unknown unknown
bác bốn,unknown unknown
bác năm,unknown unknown
bác sáu,unknown unknown
bác bảy,unknown unknown
bác tám,unknown unknown
bác chín,unknown unknown
cậu một,unknown unknown
cậu hai,unknown unknown
cậu ba,unknown unknown
cậu bốn,unknown unknown
cậu năm,unknown unknown
cậu sáu,unknown unknown
cậu bảy,unknown unknown
cậu tám,unknown unknown
cậu chín,unknown unknown
mợ một,unknown unknown
mợ hai,unknown unknown
mợ ba,unknown unknown
mợ bốn,unknown unknown
mợ năm,unknown unknown
mợ sáu,unknown unknown
mợ bảy,unknown unknown
mợ tám,unknown unknown
mợ chín,unknown unknown
anh một,unknown unknown
anh hai,unknown unknown
anh ba,unknown unknown
anh bốn,unknown unknown
anh năm,unknown unknown
anh sáu,unknown unknown
anh bảy,unknown unknown
anh tám,unknown unknown
anh chín,unknown unknown
chị một,unknown unknown
chị hai,unknown unknown
chị ba,unknown unknown
chị bốn,unknown unknown
chị năm,unknown unknown
chị sáu,unknown unknown
chị bảy,unknown unknown
chị tám,unknown unknown
chị chín,unknown unknown
tháng một,unknown num
tháng hai,unknown num
tháng ba,unknown num
tháng bốn,unknown num
tháng năm,unknown num
tháng sáu,unknown num
tháng bảy,unknown num
tháng tám,unknown num
tháng chín,unknown num
tháng mười,unknown num
tháng mười một,unknown num num
tháng mười hai,unknown num num
một phút,num unknown
hai phút,num unknown
ba phút,num unknown
bốn phút,num unknown
năm phút,num unknown
sáu phút,num unknown
bảy phút,num unknown
tám phút,num unknown
chín phút,num unknown
mười phút,num unknown
hai mốt phút,num num unknown
hai mươi ba phút,num num num unknown
hai ba phút,num num unknown
ba ba phút,num num unknown
bốn bốn phút,num num unknown
bốn mươi hai phút,num num num unknown
năm mươi sáu phút,num num num unknown
năm mươi ba phút,num num num unknown
sáu mươi phút,num num unknown
bảy mươi phút,num num unknown
tám mươi phút,num num unknown
chín mươi phút,num num unknown
hai mốt,num num
hai hai,num num
hai ba,num num
hai bốn,num num
hai tư,num num
hai lăm,num num
hai sáu,num num
hai bảy,num num
hai tám,num num
hai chín,num num
ba mốt,num num
ba hai,num num
ba ba,num num
ba bốn,num num
ba tư,num num
ba lăm,num num
ba sáu,num num
ba bảy,num num
ba tám,num num
ba chín,num num
bốn mốt,num num
bốn hai,num num
bốn ba,num num
bốn bốn,num num
bốn tư,num num
bốn lăm,num num
bốn sáu,num num
bốn bảy,num num
bốn tám,num num
bốn chín,num num
năm mốt,num num
năm hai,num num
năm ba,num num
năm bốn,num num
năm tư,num num
năm lăm,num num
năm sáu,num num
năm bảy,num num
năm tám,num num
năm chín,num num
sáu mốt,num num
sáu hai,num num
sáu ba,num num
sáu bốn,num num
sáu tư,num num
sáu lăm,num num
sáu sáu,num num
sáu bảy,num num
sáu tám,num num
sáu chín,num num
bảy mốt,num num
bảy hai,num num
bảy ba,num num
bảy bốn,num num
bảy tư,num num
bảy lăm,num num
bảy sáu,num num
bảy bảy,num num
bảy tám,num num
bảy chín,num num
tám mốt,num num
tám hai,num num
tám ba,num num
tám bốn,num num
tám tư,num num
tám lăm,num num
tám sáu,num num
tám bảy,num num
tám tám,num num
tám chín,num num
chín mốt,num num
chín hai,num num
chín ba,num num
chín bốn,num num
chín tư,num num
chín lăm,num num
chín sáu,num num
chín bảy,num num
chín tám,num num
chín chín,num num
bảy mươi lăm phút,num num num unknown
một giờ,num unknown
hai giờ,num unknown
ba giờ,num unknown
bốn mươi hai giờ,num num num unknown
bảy tám giờ,num num unknown
mười hai giờ,num num unknown
mười một giờ,num num unknown
mười ba giờ,num num unknown
hai mốt giờ,num num unknown
hai mươi mốt giờ,num num num unknown
hai mươi ba giờ,num num num unknown
hai mươi hai giờ,num num num unknown
