Sentences,Label
tám bình cộng mười hai bằng bao nhiêu,num unknown unknown num num unknown unknown unknown
triệu chứng hậu cô vít,unknown unknown unknown unknown unknown
hai triệu triệu chứng của bệnh nan y,num num_mag unknown unknown unknown unknown unknown unknown
ba triệu triệu chứng của bệnh lao phổi,num num_mag unknown unknown unknown unknown unknown unknown
chín triệu không trăm linh hai triệu chứng của bệnh lao phổi,num num_mag num num_mag sub_num_mag num unknown unknown unknown unknown unknown unknown
chín triệu không trăm ba mươi nghìn triệu chứng của bệnh lao phổi,num num_mag num num_mag num num_mag num_mag unknown unknown unknown unknown unknown unknown
quê hương của nô bi ta ở đâu,unknown unknown unknown unknown unknown unknown unknown unknown
chín triệu không trăm ba mươi nghìn,num num num num num num num
ba mươi mốt nghìn bảy trăm linh hai,num num_mag post_num num_mag num num_mag sub_num_mag num
một trăm ngàn hai trăm mười bốn năm,num num_mag num_mag num num_mag num num unknown
bảy mươi mốt ngàn hai trăm lẻ ba,num num_mag post_num num_mag num num_mag sub_num_mag num
chín mươi lăm nghìn bảy trăm năm mươi mốt,num num_mag post_num num_mag num num_mag num num_mag post_num
ba tôi ăn cơm lúc ba giờ chiều,unknown unknown unknown unknown unknown num unknown unknown
ba tôi ăn trưa lúc ba giờ chiều,unknown unknown unknown unknown unknown num unknown unknown
tôi ăn quả trứng chín lúc chín giờ,unknown unknown unknown unknown unknown unknown num unknown
quả cam chín lúc chín giờ,unknown unknown unknown unknown num unknown
chín chắn lúc chín tuổi,unknown unknown unknown num unknown
chín muồi lúc chín giờ,unknown unknown unknown num unknown
chín chắn ở tuổi mười chín,unknown unknown unknown unknown num_mag num
một nghề cho chín còn hơn chín nghề,num unknown unknown unknown unknown unknown num unknown
ba mẹ đi chơi lúc ba giờ tối,unknown unknown unknown unknown unknown num unknown unknown
ba mẹ ăn con ba ba lúc ba giờ tối,unknown unknown unknown unknown unknown unknown unknown num unknown unknown
ba tôi có con ba ba lúc mười ba giờ tối,unknown unknown unknown unknown unknown unknown unknown num num unknown unknown
ba mẹ ăn con ba ba lúc ba giờ tối,unknown unknown unknown unknown unknown unknown unknown num unknown unknown
ba mẹ ăn con ba ba lúc bốn giờ tối,unknown unknown unknown unknown unknown unknown unknown num unknown unknown
ba mẹ ăn con ba ba lúc năm giờ tối,unknown unknown unknown unknown unknown unknown unknown num unknown unknown
đài vê ô hát,unknown abb abb abb
mở đài vê ô hát,unknown unknown abb abb abb
đài vê ô hát kênh mấy,unknown abb abb abb unknown unknown
đài vê ô hát có gì hay không,unknown abb abb abb unknown unknown unknown unknown
đài vê ô hát,unknown abb abb abb
tập đoàn vê ô hát qui định,unknown unknown abb abb abb unknown unknown
đài vê ô hát ,unknown abb abb abb
đài vê ô hắc,unknown abb abb abb
đài vê ô vê,unknown abb abb abb
mở đài vê ô vê,unknown unknown abb abb abb
mở đài vê ô vê ngay lập tức,unknown unknown abb abb abb unknown unknown unknown
mở kênh vê ô vê đi,unknown unknown abb abb abb unknown
vê ô vê là gì,abb abb abb unknown unknown
kênh vê ô vê có trong hệ thống không,unknown abb abb abb unknown unknown unknown unknown unknown
sơn tùng em ti pi dạo này có gì mới,unknown unknown abb abb abb unknown unknown unknown unknown unknown
mở ti vi lên,unknown unknown unknown unknown
ti vi bán ở cửa hàng điện máy,unknown unknown unknown unknown unknown unknown unknown unknown
mở ti vi lúc một giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc hai giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc ba giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc bốn giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc năm giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc sáu giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc bảy giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc tám giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc chín giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc mười giờ chiều,unknown unknown unknown unknown num unknown unknown
mở ti vi lúc mười một giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
mở ti vi lúc mười hai giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
mở ti vi lúc mười ba giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
mở ti vi lúc mười bốn giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
mở ti vi lúc mười năm giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
mở ti vi lúc mười sáu giờ chiều,unknown unknown unknown unknown num_mag num unknown unknown
ti vi có giá sáu triệu ba trăm hai chục ngàn đồng,unknown unknown unknown unknown num num_mag num num_mag num num_mag num_mag unknown
ti vi có giá bảy triệu chín trăm hai chục ngàn đồng,unknown unknown unknown unknown num num_mag num num_mag num num_mag num_mag unknown
ti vi có giá tám triệu hai trăm một chục ngàn đồng,unknown unknown unknown unknown num num_mag num num_mag num num_mag num_mag unknown
ti vi có giá chín triệu bốn trăm năm chục ngàn đồng,unknown unknown unknown unknown num num_mag num num_mag num num_mag num_mag unknown
ti vi có giá mười triệu năm trăm ba chục ngàn đồng,unknown unknown unknown unknown num num_mag num num_mag num num_mag num_mag unknown
công ty vi en pi ti,unknown unknown abb abb abb abb
tập đoàn doanh nghiệp vi en pi ti,unknown unknown unknown unknown abb abb abb abb
cửa hàng ca ép xê,unknown unknown abb abb abb
ét ti sơn thạch,abb abb unknown unknown
nộp xi vi cho công ti,unknown abb abb unknown unknown unknown
thuốc nổ nờ tê nờ,unknown unknown abb abb abb
en ti en vê lốc,abb abb abb unknown unknown
kênh du túp en ti en vi lốc,unknown unknown unknown abb abb abb unknown unknown
trường đại học en du ét,unknown unknown unknown abb abb abb
trường đại học en ti diu,unknown unknown unknown abb abb abb
trường đại học en quai du ở Mỹ,unknown unknown unknown abb abb abb unknown unknown
công ty bất động sản,unknown unknown unknown unknown unknown
những công ty ở phía nam,unknown unknown unknown unknown unknown unknown
em du nhập cộng đồng,unknown unknown unknown unknown unknown
em du học ở nước ngoài,unknown unknown unknown unknown unknown unknown
em hát ru,unknown unknown unknown
em hát ca cùng các bạn,unknown unknown unknown unknown unknown unknown
cùng hát ca nào mọi người ơi,unknown unknown unknown unknown unknown unknown unknown
em chây lười,unknown unknown unknown
em ca hát,unknown unknown unknown
em ca hát lúc ba giờ chiều,unknown unknown unknown unknown num unknown unknown
em ca hát lúc bốn giờ chiều,unknown unknown unknown unknown num unknown unknown
em si mê,unknown unknown unknown
em âu lo,unknown unknown unknown
em đi học,unknown unknown unknown
em bê đê,unknown unknown unknown
em qui định,unknown unknown unknown
nhóm công ích ép pê tê,unknown unknown unknown abb abb abb
ép pi ti di chuyển sang địa điểm mới,abb abb abb unknown unknown unknown unknown unknown unknown
hiện lên sờ sờ trước mắt,unknown unknown unknown unknown unknown unknown
ép pi ti âu lo về tương lai của mình,abb abb abb unknown unknown unknown unknown unknown unknown unknown
ép pi ti qui định rằng,abb abb abb unknown unknown unknown
âu sầu,unknown unknown
âu sầu không cải thiện được vấn đề,unknown unknown unknown unknown unknown unknown unknown unknown
gem lờ o lờ,unknown abb abb abb
chơi lờ o lờ,unknown abb abb abb
trò chơi lờ o lờ hấp dẫn,unknown unknown abb abb abb unknown unknown
nhóm lờ o lờ gồm những thành viên nào,unknown abb abb abb unknown unknown unknown unknown unknown
